지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
101,2008-01-01,-8.2,-12.6,729,-2.7,1523,,,,,,,6.5,200,1553,3.2,200,1556,.8,691,-15.6,37,1221,63.3,1.9,1010.6,1023.5,2319,1017.2,28,1020.5,9.6,7.7,1200,1.77,10.25,,,,,,0,0,-5.8,-16.8,-3.5,-1.7,-.3,1.8,3.4,7.5,10.8,15.8,17.4,,1,,
101,2008-01-02,-6.5,-13.3,616,1.8,1522,,,,,,,4.5,200,1502,2.4,230,1612,.6,518,-14.1,27,1442,64.1,2.1,1015.3,1026.9,959,1023.3,1445,1025.2,9.6,7.7,1200,1.98,10.12,,,,,,0,0,-5.8,-18.6,-3.8,-2.2,-.7,1.4,3,7.6,10.8,15.9,17.4,,.6,0,
101,2008-01-03,-3,-8.8,32,5.1,1447,2,,,,,0,3.5,230,1546,1.7,250,1553,.3,259,-8.3,40,1549,71.3,3.3,1014.2,1027.5,148,1020.9,1431,1024,9.6,5.2,1300,1.08,6.38,,,,,,3.3,2.9,-3.5,-15.1,-2.7,-1.8,-.8,1.2,2.8,7.3,10.4,15.8,17.4,,.6,0,
101,2008-01-04,-2.8,-9.1,624,4.6,1515,,,,,,,2.7,270,1459,1.4,230,1526,.3,259,-9,33,1517,68.5,3.1,1015.9,1028.7,945,1023.4,1750,1025.6,9.6,6.1,1300,1.71,8.35,,,,,,3,1.6,-3.6,-15.8,-3,-1.9,-.8,1.1,2.6,7.2,10.4,15.8,17.5,,.8,,
101,2008-01-05,-1.9,-7.8,745,5.8,1428,,,,,,,7.8,230,1626,3.6,200,1448,.6,518,-7.5,38,1300,70.9,3.5,1013.6,1025,956,1021.3,1436,1023.3,9.6,7.6,1100,1.81,10,,,,,,.3,0,-3.4,-14.6,-2.4,-1.6,-.8,1,2.6,7.2,10.4,15.5,17.4,,.8,,
101,2008-01-06,-1.2,-6,103,3.7,1523,,,,,,,2,360,535,1.2,340,644,.2,173,-3.4,67,1433,86.8,4.9,1013.5,1025.1,1012,1021.1,2039,1023.2,9.7,0,1300,.59,2.91,,,,,,9.3,7,-1.6,-12.3,-2.2,-1.4,-.8,1,2.5,6.9,10.2,15.5,17.5,,.2,,
101,2008-01-07,-.6,-4.5,2358,4.5,1612,,,,,,,2.7,360,1050,2.1,340,1055,.2,173,-1.7,71,1550,93.4,5.4,1009.3,1022.3,1,1016.3,1442,1018.9,9.7,0,1300,.92,3.88,,,,,,8,8,-1.1,-10.1,-1.6,-1.1,-.7,.9,2.9,7,10,15.3,17.4,,.4,,14.33
101,2008-01-08,-1.4,-7,549,5.9,1447,,,,,,,5.6,270,1754,2.8,250,1810,.6,518,-8.5,24,1517,68.3,3.3,1009.8,1021.5,923,1017,1558,1019.5,9.7,2.5,1200,1.33,6.08,,,,,,7,3.8,-1.6,-11.6,-1.9,-1.2,-.7,.9,2.2,6.7,10,15.2,17.3,,.4,,9.83
101,2008-01-09,-2.5,-7.1,542,2.9,1452,,,,,,,5.3,360,1417,3.2,360,1524,.4,346,-9.1,29,1500,66.1,3.1,1012.7,1024.1,2256,1020,50,1022.4,9.7,1.6,1200,1.05,5.48,,,,,,6,4,-2.8,-13.1,-2.4,-1.5,-.8,.9,2.2,6.6,10,15.2,17.2,,.6,,
101,2008-01-10,-2,-8.6,748,6,1509,,,,,,,3.2,360,548,2,360,942,.4,346,-9.9,20,1544,62,2.9,1014.8,1026.8,908,1021.8,1705,1024.5,9.7,7.4,1100,1.9,10.11,,,,,,3.3,1.3,-3.3,-14.6,-2.5,-1.6,-.8,.9,2.4,6.5,9.9,15.2,17.2,,1,.7,
